"","candidate_name","precinct","district","dsa_endorsed","dsa_greenlit","dsa_redlit","ibew_local_48","ironworkers_local_29","apano_action_fund","future_portland","next_up_action_fund","portland_firefighters_any","the_oregonian","united_for_portland","millamette_week","working_families_party","afscme_local_189","portland_mercury","portland_police_any","progresso_latino","sierra_club","X12_for_pdx","berniepdx","home_pac","street_trust_action_fund","portland_for_all","friends_of_portland_street_response","portland_neighbors_welcome","protec17","sunrise_movement_pdx","nw_oregon_labor_council","portland_association_of_teachers","american_federation_of_teachers_oregon","multifamily_nw","lgbtq_victory_fund","teamsters_joint_council_37","incum_or_former","total_households","avg_household_size","total_families","avg_family_size","edu_pop_18_24","edu_pop_25plus","edu_hs_total","edu_somecollege_total","edu_bach_total","edu_grad_total","homeowner_pct","renter_pct","income_10_29k","income_30_44k","income_45_74k","income_75_149k","income_150k_plus","precinct_name","registerd_voters","total_voter_turnout","percentage_turnout","english_speakers","eleg_voters","pop_in_povery_18_plus","caucasian_white_percent","people_with_disability"
"1","Timur Ender",35,1,"no","yes","no","yes","no","yes","no","yes","no","no","no","no","yes","yes","yes","no","no","no","no","no","no","yes","yes","yes","yes","no","yes","no","no","no","no","no","no","no","18001","2.49125","10591","3.13125","3355","33472","11357","12396","5826","2715","61.15","38.85","2754","2198","3739","4960","3217","4703",7131,4309,60.43,6244,6657,7679,63.67,2114
"2","Noah Ernst",35,1,"no","no","no","no","no","no","yes","no","no","yes","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","18001","2.49125","10591","3.13125","3355","33472","11357","12396","5826","2715","61.15","38.85","2754","2198","3739","4960","3217","4703",7131,4309,60.43,6244,6657,7679,63.67,2114
"3","Candace Avalos",35,1,"no","no","no","yes","no","no","no","yes","no","yes","no","yes","yes","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","18001","2.49125","10591","3.13125","3355","33472","11357","12396","5826","2715","61.15","38.85","2754","2198","3739","4960","3217","4703",7131,4309,60.43,6244,6657,7679,63.67,2114
"4","Joe Allen",35,1,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","18001","2.49125","10591","3.13125","3355","33472","11357","12396","5826","2715","61.15","38.85","2754","2198","3739","4960","3217","4703",7131,4309,60.43,6244,6657,7679,63.67,2114
"5","David Linn",35,1,"no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","18001","2.49125","10591","3.13125","3355","33472","11357","12396","5826","2715","61.15","38.85","2754","2198","3739","4960","3217","4703",7131,4309,60.43,6244,6657,7679,63.67,2114
"6","Cayle Tern",35,1,"no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","18001","2.49125","10591","3.13125","3355","33472","11357","12396","5826","2715","61.15","38.85","2754","2198","3739","4960","3217","4703",7131,4309,60.43,6244,6657,7679,63.67,2114
"7","Doug Clove",35,1,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","18001","2.49125","10591","3.13125","3355","33472","11357","12396","5826","2715","61.15","38.85","2754","2198","3739","4960","3217","4703",7131,4309,60.43,6244,6657,7679,63.67,2114
"8","Joe Furi",35,1,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","18001","2.49125","10591","3.13125","3355","33472","11357","12396","5826","2715","61.15","38.85","2754","2198","3739","4960","3217","4703",7131,4309,60.43,6244,6657,7679,63.67,2114
"9","Michael (Mike) Sands",35,1,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","18001","2.49125","10591","3.13125","3355","33472","11357","12396","5826","2715","61.15","38.85","2754","2198","3739","4960","3217","4703",7131,4309,60.43,6244,6657,7679,63.67,2114
"10","Deian Salazar",35,1,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","18001","2.49125","10591","3.13125","3355","33472","11357","12396","5826","2715","61.15","38.85","2754","2198","3739","4960","3217","4703",7131,4309,60.43,6244,6657,7679,63.67,2114
